Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
09-06-2011,WIPRO,EQ,441.2,440.5,442.55,435.5,439,438.8,437.9,922040,4.04E+13,26728,546128,0.5923
10-06-2011,WIPRO,EQ,438.8,437.8,442,434.1,438.5,437.45,437.89,718479,3.15E+13,21845,391184,0.5445
13-06-2011,WIPRO,EQ,437.45,434.45,438.5,432.6,436,435.45,435.84,689026,3.00E+13,13505,422458,0.6131
14-06-2011,WIPRO,EQ,435.45,435.5,440,435.5,436.55,436.85,438.32,456835,2.00E+13,10779,305750,0.6693
15-06-2011,WIPRO,EQ,436.85,437,438.45,422.15,425,424.4,427.95,2074171,8.88E+13,28798,1532693,0.7389
16-06-2011,WIPRO,EQ,424.4,422.65,423,414.75,416,416.05,417.26,1129049,4.71E+13,31259,636864,0.5641
17-06-2011,WIPRO,EQ,416.05,413.6,418.9,408,408.3,408.85,412.33,747507,3.08E+13,18378,370404,0.4955
20-06-2011,WIPRO,EQ,408.85,410,412.45,381.45,405.5,402.3,401.19,1829456,7.34E+13,42680,1108941,0.6062
21-06-2011,WIPRO,EQ,402.3,402.6,405.5,395.5,402,402.4,400.94,1005952,4.03E+13,20326,512502,0.5095
22-06-2011,WIPRO,EQ,402.4,402.6,408.95,401.5,405,403.8,404.72,836570,3.39E+13,15421,447626,0.5351
23-06-2011,WIPRO,EQ,403.8,402.25,412,402.25,409.8,409.9,409.81,808957,3.32E+13,19239,525341,0.6494
24-06-2011,WIPRO,EQ,409.9,409.6,425.8,408.1,424.35,424.2,419.83,1119691,4.70E+13,21882,733945,0.6555
27-06-2011,WIPRO,EQ,424.2,422.45,428.3,418.3,422.5,422.65,423.42,892746,3.78E+13,21082,544621,0.6101
28-06-2011,WIPRO,EQ,422.65,421.1,424,413,418.3,419.1,416.67,1311855,5.47E+13,26109,723383,0.5514
29-06-2011,WIPRO,EQ,419.1,418.7,422.7,417.75,421,420.55,420.53,785460,3.30E+13,12797,498546,0.6347
30-06-2011,WIPRO,EQ,420.55,422.45,424.05,411.6,417.5,417.6,416.74,1555322,6.48E+13,24329,921466,0.5925
01-07-2011,WIPRO,EQ,417.6,423.8,424.95,418,424.2,423.15,420.89,1060783,4.46E+13,15883,798025,0.7523
04-07-2011,WIPRO,EQ,423.15,427.7,427.7,422.3,424.3,424.4,424.72,1630436,6.92E+13,9999,1376355,0.8442
05-07-2011,WIPRO,EQ,424.4,422.65,430.5,422.5,428.1,428,427.04,1017951,4.35E+13,17788,584672,0.5744
06-07-2011,WIPRO,EQ,428,427.8,429.8,422.6,423.55,424.85,425.12,2508127,1.07E+14,19887,2049334,0.8171
07-07-2011,WIPRO,EQ,424.85,424,432.4,420.05,430,431.05,426.35,893788,3.81E+13,15806,471338,0.5273
08-07-2011,WIPRO,EQ,431.05,431,435,350,431.5,431.5,430.76,1154821,4.97E+13,17311,607878,0.5264
11-07-2011,WIPRO,EQ,431.5,427.3,429,417.35,418.05,420.9,423.52,464736,1.97E+13,12335,263321,0.5666
12-07-2011,WIPRO,EQ,420.9,412.5,417.65,407.6,413,414.6,411.21,1696181,6.97E+13,23307,1025667,0.6047
13-07-2011,WIPRO,EQ,414.6,410.5,415.4,410.5,414.5,413.5,412.82,667209,2.75E+13,20594,296091,0.4438
14-07-2011,WIPRO,EQ,413.5,411.15,414.9,410.05,412,411.5,411.67,563300,2.32E+13,12412,178216,0.3164
15-07-2011,WIPRO,EQ,411.5,414.2,417,410.4,415.15,414.8,414.22,570160,2.36E+13,12056,236590,0.415
18-07-2011,WIPRO,EQ,414.8,412.15,416.3,410.3,413.15,413.65,414.07,518426,2.15E+13,11485,245848,0.4742
19-07-2011,WIPRO,EQ,413.65,414.85,417,410.65,414.75,415.2,413.33,912642,3.77E+13,22070,533851,0.585
20-07-2011,WIPRO,EQ,415.2,417,417,395.05,398,398.95,401.18,4690625,1.88E+14,72471,2133648,0.4549
21-07-2011,WIPRO,EQ,398.95,398,402.8,392.95,402,401.1,399.98,829248,3.32E+13,17886,240850,0.2904
22-07-2011,WIPRO,EQ,401.1,404.95,407,402.05,406.35,405.85,404.87,1263304,5.11E+13,21636,894571,0.7081
25-07-2011,WIPRO,EQ,405.85,406,411.6,401.8,410,410.15,407.98,682805,2.79E+13,30197,403720,0.5913
26-07-2011,WIPRO,EQ,410.15,409.9,412.3,405.15,410,410.45,409.32,1148100,4.70E+13,28765,723142,0.6299
27-07-2011,WIPRO,EQ,410.45,408.05,409.9,401.45,402,402.55,405.79,1148344,4.66E+13,13069,845823,0.7366
28-07-2011,WIPRO,EQ,402.55,395.9,399.9,391.3,395,395,394.58,1206791,4.76E+13,25207,695743,0.5765
